uncertainty_type,n_calibration,min,q6827,q9545,q9973,max,mean,std
aleatoric_var_sin,2912,2.4039458367042243e-05,0.001327443984337151,0.08085273206233978,0.32184869050979614,0.5802726149559021,0.012290651910007,0.03976311534643173
epistemic_var_sin,2912,2.308482726220973e-05,0.025382058694958687,5.201097011566162,26.602733612060547,40.63688659667969,0.773765504360199,2.792470693588257
total_var_sin,2912,5.091784260002896e-05,0.02682548202574253,5.290925979614258,26.87117576599121,41.03632736206055,0.7860561609268188,2.829364061355591
sigma_sin,2912,0.007135673891752958,0.16378486156463623,2.300201177597046,5.183741569519043,6.4059600830078125,0.40035414695739746,0.7910579442977905
aleatoric_var_cos,2912,5.565855758504767e-07,0.0017510317265987396,0.45358988642692566,4.8655171394348145,11.199666023254395,0.08720798045396805,0.47671473026275635
epistemic_var_cos,2912,2.645733729877975e-07,0.017927339300513268,27.463054656982422,472.4740905761719,1827.3851318359375,7.388017177581787,62.0572509765625
total_var_cos,2912,8.788310310592351e-07,0.019704265519976616,27.80759620666504,477.339599609375,1838.5848388671875,7.47522497177124,62.51594924926758
sigma_cos,2912,0.0009374598739668727,0.1403718888759613,5.273290634155273,21.848102569580078,42.87872314453125,0.8616906404495239,2.594747304916382
aleatoric_var_range,2912,4.509176960709738e-06,0.0002884833957068622,0.002626274712383747,0.008224650286138058,0.015715425834059715,0.000503665127325803,0.0011121387360617518
epistemic_var_range,2912,4.0897371036408e-06,0.0014036241918802261,0.015559968538582325,0.06017507612705231,0.1357715129852295,0.0030138439033180475,0.0077895293943583965
total_var_range,2912,8.598914064350538e-06,0.0017149639315903187,0.01811562106013298,0.06670180708169937,0.15148693323135376,0.003517508739605546,0.00881264265626669
sigma_range,2912,0.0029323904309421778,0.041412122547626495,0.13459427654743195,0.2582669258117676,0.3892132341861725,0.039475250989198685,0.044263001531362534
bearing_std_deg,2912,0.6707456111907959,13.381609916687012,284.2756652832031,2042.817626953125,4628.73828125,59.13111877441406,213.5976104736328
